STARNAME,TWOMASS_NAME,Plate,GSC_Name,TYC_Name,HIP_Name,RA_Final,DEC_Final,GSC_B,GSC_V,TWOMASS_J,TWOMASS_H,TWOMASS_K,SP1,SP2,RPM_LOG_g,Teff,log_g,FeH,GSC_B_E,GSC_V_E,TWOMASS_J_E,TWOMASS_H_E,TWOMASS_K_E,Teff_E,log_g_E,FeH_E,Epoch_0,RA_0,DEC_0,RA_TWOMASS,DEC_TWOMASS,GSC_PM_RA,GSC_PM_DEC,GSC_PM_RA_E,GSC_PM_DEC_E,TYC_B,TYC_B_E,TYC_V,TYC_V_E,HIP_PLX,HIP_PLX_E,HIP_SPTYPE
TYC-3657-01496-1_BEAM2,TWOMASS-J00213384+5500345,APG_120-08,GSC-03657-01496,TYC-3657-01496-1,NO_HIP_ID,5.391125,55.009545,12.042,11.157,9.798,9.5,9.401,G5,G5,MainSeq,5503,4.4,0,0.081,0.056,0.019,0.032,0.018,105,0,0,2011.08,5.391125,55.009545,5.391011,55.009602,20.1,-15.3,3,2.9,12.042,0.081,11.157,0.056,9999,9999,NO_HIP_TYPE!
TYC-3657-01979-1_BEAM1,TWOMASS-J00240150+5451357,APG_120-08,GSC-03657-01979,TYC-3657-01979-1,NO_HIP_ID,6.006121,54.860035,12.272,11.489,9.843,9.393,9.338,K0,K0,MainSeq,5074,4.4,0,0.116,0.076,0.02,0.025,0.018,105,0,0,2011.08,6.006121,54.860035,6.006255,54.859936,-14.5,27.4,2.6,2.4,12.272,0.116,11.489,0.076,9999,9999,NO_HIP_TYPE!
TYC-3657-01979-1_BEAM2,TWOMASS-J00240150+5451357,APG_120-08,GSC-03657-01979,TYC-3657-01979-1,NO_HIP_ID,6.006121,54.860035,12.272,11.489,9.843,9.393,9.338,K0,K0,MainSeq,5074,4.4,0,0.116,0.076,0.02,0.025,0.018,105,0,0,2011.08,6.006121,54.860035,6.006255,54.859936,-14.5,27.4,2.6,2.4,12.272,0.116,11.489,0.076,9999,9999,NO_HIP_TYPE!
TYC-3658-00063-1_BEAM1,TWOMASS-J00354492+5438428,APG_120-08,GSC-03658-00063,TYC-3658-00063-1,NO_HIP_ID,8.937393,54.645136,11.512,10.687,9.246,8.892,8.799,G5,G5,MainSeq,5322,4.4,0,0.043,0.034,0.015,0.027,0.023,105,0,0,2011.08,8.937393,54.645136,8.937204,54.645226,29.6,-22.4,1.7,1.7,11.512,0.043,10.687,0.034,9999,9999,NO_HIP_TYPE!
TYC-3658-00063-1_BEAM2,TWOMASS-J00354492+5438428,APG_120-08,GSC-03658-00063,TYC-3658-00063-1,NO_HIP_ID,8.937393,54.645136,11.512,10.687,9.246,8.892,8.799,G5,G5,MainSeq,5322,4.4,0,0.043,0.034,0.015,0.027,0.023,105,0,0,2011.08,8.937393,54.645136,8.937204,54.645226,29.6,-22.4,1.7,1.7,11.512,0.043,10.687,0.034,9999,9999,NO_HIP_TYPE!
TYC-3658-00490-1_BEAM1,TWOMASS-J00311227+5534554,APG_120-08,GSC-03658-00490,TYC-3658-00490-1,NO_HIP_ID,7.802652,55.582183,11.563,10.671,8.978,8.549,8.468,K0,K0,MainSeq,5040,4.4,0,0.058,0.042,0.015,0.031,0.014,105,0,0,2011.08,7.802652,55.582183,7.801142,55.582062,257.6,36.1,2.4,2.2,11.563,0.058,10.671,0.042,9999,9999,NO_HIP_TYPE!
TYC-3658-00490-1_BEAM2,TWOMASS-J00311227+5534554,APG_120-08,GSC-03658-00490,TYC-3658-00490-1,NO_HIP_ID,7.802652,55.582183,11.563,10.671,8.978,8.549,8.468,K0,K0,MainSeq,5040,4.4,0,0.058,0.042,0.015,0.031,0.014,105,0,0,2011.08,7.802652,55.582183,7.801142,55.582062,257.6,36.1,2.4,2.2,11.563,0.058,10.671,0.042,9999,9999,NO_HIP_TYPE!
TYC-3658-00617-1_BEAM1,TWOMASS-J00385773+5442451,APG_120-08,GSC-03658-00617,TYC-3658-00617-1,NO_HIP_ID,9.740358,54.71263,9.194,8.549,7.362,7.095,7.04,G0,G0,MainSeq,5831,4.4,0,0.015,0.011,0.007,0.011,0.007,105,0,0,2011.08,9.740358,54.71263,9.74056,54.712532,-34.6,47.5,1.3,1.4,9.194,0.015,8.549,0.011,9999,9999,NO_HIP_TYPE!
TYC-3658-00617-1_BEAM2,TWOMASS-J00385773+5442451,APG_120-08,GSC-03658-00617,TYC-3658-00617-1,NO_HIP_ID,9.740358,54.71263,9.194,8.549,7.362,7.095,7.04,G0,G0,MainSeq,5831,4.4,0,0.015,0.011,0.007,0.011,0.007,105,0,0,2011.08,9.740358,54.71263,9.74056,54.712532,-34.6,47.5,1.3,1.4,9.194,0.015,8.549,0.011,9999,9999,NO_HIP_TYPE!
TYC-3658-00903-1_BEAM1,TWOMASS-J00360864+5449343,APG_120-08,GSC-03658-00903,TYC-3658-00903-1,NO_HIP_ID,9.036284,54.826144,10.109,9.492,8.466,8.21,8.164,F8,F8,MainSeq,6012,4.4,0,0.02,0.016,0.019,0.021,0.013,105,0,0,2011.08,9.036284,54.826144,9.036036,54.82621,48,-17.4,1.7,1.7,10.109,0.02,9.492,0.016,9999,9999,NO_HIP_TYPE!
